9979
hair_blonde hair_orange hair_brown hair_black hair_blue hair_white eye_brown eye_blue eye_green eye_black face_African face_Asian face_Caucasian with_glasses without_glasses
cs11948362717663687924.png 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1
cs120693550341613305.png 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1
cs1277760480152204598.png 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1
cs12509201449976578337.png 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1
cs11826363920329338282.png 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1
cs11764011375507494377.png 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1
cs12862628933250876541.png 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1
cs12981166230269684123.png 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1
cs12330166837537990365.png 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1
cs12207933061616183607.png 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0
cs12076945554720029238.png 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1
cs11808561907411175818.png 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1
cs11782109425187736931.png 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0
cs12511231062202946470.png 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0
cs12468589388590114439.png 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1
cs11933084663911507725.png 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1
cs12749060497467720510.png 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0
cs12147439831046383743.png 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1
cs12003484481685366303.png 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0
cs11702839845939590245.png 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1
cs11503632756487084302.png 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0
cs11836559816484423976.png 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0
cs12923985529817372067.png 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1
cs12554661023243902681.png 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0
cs12566134064805222592.png 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1
cs12202223997680975711.png 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1
cs1246148886171225860.png 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1
cs12531300483260422482.png 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1
cs12385068626432961723.png 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1
cs12101219840427910985.png 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1
cs1167252539259648792.png 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0
cs12993991444400920982.png 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1
